Date&Time,ProcessID,ProcessName,TotalProcessorTime,PrivateMemSize
2014/10/08 13:23:49,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:23:52,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:23:55,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:23:58,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:01,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:04,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:07,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:10,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:13,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:16,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:19,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:22,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:25,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:28,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:31,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:34,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:37,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:40,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:43,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:46,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:49,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:52,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:55,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:24:58,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:25:01,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:25:04,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:25:07,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:25:10,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:25:13,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:25:16,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:25:19,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:25:22,10188,MSBuild,00:00:01.5288098,23556096
2014/10/08 13:25:25,10188,MSBuild,00:00:01.5288098,23556096
