Date&Time,ProcessID,ProcessName,TotalProcessorTime,PrivateMemSize
2014/10/06 10:38:37,8540,EXCEL,00:07:47.4881967,198868992
2014/10/06 10:38:40,8540,EXCEL,00:07:47.4881967,198868992
2014/10/06 10:44:37,4672,cam,00:16:49.3576702,278372352
2014/10/06 10:44:40,4672,cam,00:16:49.3576702,278372352
2014/10/06 10:44:43,4672,cam,00:16:49.3576702,278372352
2014/10/06 10:44:46,4672,cam,00:16:49.3576702,278372352
2014/10/06 10:44:49,4672,cam,00:16:49.3576702,278372352
2014/10/06 10:47:43,5636,iexplore,00:00:28.8289848,36978688
2014/10/06 10:47:43,3860,iexplore,00:13:19.2867236,62263296
2014/10/06 10:47:46,5636,iexplore,00:00:28.8289848,36978688
2014/10/06 10:47:46,3860,iexplore,00:13:19.2867236,62279680
2014/10/06 10:47:49,5636,iexplore,00:00:28.8289848,36978688
2014/10/06 10:47:49,3860,iexplore,00:13:19.2867236,62291968
2014/10/06 10:47:52,5636,iexplore,00:00:28.8289848,36978688
2014/10/06 10:47:52,3860,iexplore,00:13:19.3179238,62300160
2014/10/06 10:47:55,5636,iexplore,00:00:28.8289848,36978688
2014/10/06 10:47:55,3860,iexplore,00:13:19.3179238,62312448
2014/10/06 10:47:58,5636,iexplore,00:00:28.8289848,36978688
2014/10/06 10:47:58,3860,iexplore,00:13:19.3179238,62324736
2014/10/06 10:48:01,5636,iexplore,00:00:28.8289848,36978688
2014/10/06 10:48:01,3860,iexplore,00:13:19.3179238,62337024
2014/10/06 10:48:04,5636,iexplore,00:00:28.8289848,36978688
2014/10/06 10:48:04,3860,iexplore,00:13:19.3179238,62341120
2014/10/06 10:48:07,5636,iexplore,00:00:28.8289848,36978688
2014/10/06 10:48:07,3860,iexplore,00:13:19.3179238,62353408
2014/10/06 10:48:10,5636,iexplore,00:00:28.8289848,36978688
2014/10/06 10:48:10,3860,iexplore,00:13:19.3179238,62365696
